r,t,y,SumLandAreaImpactPerTech
"Greece","GEOPWR_M",2026,0
"Greece","GEOPWR_M",2027,0
"Greece","GEOPWR_M",2028,0
"Greece","GEOPWR_M",2029,0
"Greece","GEOPWR_M",2030,0
"Greece","GEOPWR_M",2031,0
"Greece","GEOPWR_M",2032,0
"Greece","GEOPWR_M",2033,0
"Greece","GEOPWR_M",2034,0
"Greece","GEOPWR_M",2035,0
"Greece","GEOPWR_M",2036,0
"Greece","GEOPWR_M",2037,0
"Greece","GEOPWR_M",2038,0
"Greece","GEOPWR_M",2039,0
"Greece","GEOPWR_M",2040,0
"Greece","GEOPWR_M",2041,0
"Greece","GEOPWR_M",2042,0
"Greece","GEOPWR_M",2043,0
"Greece","GEOPWR_M",2044,0
"Greece","GEOPWR_M",2045,0
"Greece","GEOPWR_M",2046,0
"Greece","GEOPWR_M",2047,0
"Greece","GEOPWR_M",2048,9.7
"Greece","GEOPWR_M",2049,19.4
"Greece","GEOPWR_M",2050,19.4
"Greece","GRBM00I00",2019,0
"Greece","GRBM00I00",2020,0
"Greece","GRBM00I00",2021,0
"Greece","GRBM00I00",2022,0
"Greece","GRBM00I00",2023,0
"Greece","GRBM00I00",2024,0
"Greece","GRBM00I00",2025,0
"Greece","GRBM00I00",2026,0
"Greece","GRBM00I00",2027,0
"Greece","GRBM00I00",2028,0
"Greece","GRBM00I00",2029,0
"Greece","GRBM00I00",2030,0
"Greece","GRBM00I00",2031,0
"Greece","GRBM00I00",2032,0
"Greece","GRBM00I00",2033,0
"Greece","GRBM00I00",2034,0
"Greece","GRBM00I00",2035,0
"Greece","GRBM00I00",2036,0
"Greece","GRBM00I00",2037,0
"Greece","GRBM00I00",2038,0
"Greece","GRBM00I00",2039,0
"Greece","GRBM00I00",2040,0
"Greece","GRBM00I00",2041,0
"Greece","GRBM00I00",2042,0
"Greece","GRBM00I00",2043,0
"Greece","GRBM00I00",2044,0
"Greece","GRBM00I00",2045,0
"Greece","GRBM00I00",2046,0
"Greece","GRBM00I00",2047,0
"Greece","GRBM00I00",2048,0
"Greece","GRBM00I00",2049,0
"Greece","GRBM00I00",2050,0
"Greece","GRBM00X00",2019,0
"Greece","GRBM00X00",2020,0
"Greece","GRBM00X00",2021,0
"Greece","GRBM00X00",2022,0
"Greece","GRBM00X00",2023,0
"Greece","GRBM00X00",2024,0
"Greece","GRBM00X00",2025,0
"Greece","GRBM00X00",2026,0
"Greece","GRBM00X00",2027,0
"Greece","GRBM00X00",2028,0
"Greece","GRBM00X00",2029,0
"Greece","GRBM00X00",2030,0
"Greece","GRBM00X00",2031,0
"Greece","GRBM00X00",2032,0
"Greece","GRBM00X00",2033,0
"Greece","GRBM00X00",2034,0
"Greece","GRBM00X00",2035,0
"Greece","GRBM00X00",2036,0
"Greece","GRBM00X00",2037,0
"Greece","GRBM00X00",2038,0
"Greece","GRBM00X00",2039,0
"Greece","GRBM00X00",2040,0
"Greece","GRBM00X00",2041,0
"Greece","GRBM00X00",2042,0
"Greece","GRBM00X00",2043,0
"Greece","GRBM00X00",2044,0
"Greece","GRBM00X00",2045,0
"Greece","GRBM00X00",2046,0
"Greece","GRBM00X00",2047,0
"Greece","GRBM00X00",2048,0
"Greece","GRBM00X00",2049,0
"Greece","GRBM00X00",2050,0
"Greece","GRCO00I00",2019,0
"Greece","GRCO00I00",2020,0
"Greece","GRCO00I00",2021,0
"Greece","GRCO00I00",2022,0
"Greece","GRCO00I00",2023,0
"Greece","GRCO00I00",2024,0
"Greece","GRCO00I00",2025,0
"Greece","GRCO00I00",2026,0
"Greece","GRCO00I00",2027,0
"Greece","GRCO00I00",2028,0
"Greece","GRCO00I00",2029,0
"Greece","GRCO00I00",2030,0
"Greece","GRCO00I00",2031,0
"Greece","GRCO00I00",2032,0
"Greece","GRCO00I00",2033,0
"Greece","GRCO00I00",2034,0
"Greece","GRCO00I00",2035,0
"Greece","GRCO00I00",2036,0
"Greece","GRCO00I00",2037,0
"Greece","GRCO00I00",2038,0
"Greece","GRCO00I00",2039,0
"Greece","GRCO00I00",2040,0
"Greece","GRCO00I00",2041,0
"Greece","GRCO00I00",2042,0
"Greece","GRCO00I00",2043,0
"Greece","GRCO00I00",2044,0
"Greece","GRCO00I00",2045,0
"Greece","GRCO00I00",2046,0
"Greece","GRCO00I00",2047,0
"Greece","GRCO00I00",2048,0
"Greece","GRCO00I00",2049,0
"Greece","GRCO00I00",2050,0
"Greece","GRCO00X00",2019,0
"Greece","GRCO00X00",2020,0
"Greece","GRCO00X00",2021,0
"Greece","GRCO00X00",2022,0
"Greece","GRCO00X00",2023,0
"Greece","GRCO00X00",2024,0
"Greece","GRCO00X00",2025,0
"Greece","GRCO00X00",2026,0
"Greece","GRCO00X00",2027,0
"Greece","GRCO00X00",2028,0
"Greece","GRCO00X00",2029,0
"Greece","GRCO00X00",2030,0
"Greece","GRCO00X00",2031,0
"Greece","GRCO00X00",2032,0
"Greece","GRCO00X00",2033,0
"Greece","GRCO00X00",2034,0
"Greece","GRCO00X00",2035,0
"Greece","GRCO00X00",2036,0
"Greece","GRCO00X00",2037,0
"Greece","GRCO00X00",2038,0
"Greece","GRCO00X00",2039,0
"Greece","GRCO00X00",2040,0
"Greece","GRCO00X00",2041,0
"Greece","GRCO00X00",2042,0
"Greece","GRCO00X00",2043,0
"Greece","GRCO00X00",2044,0
"Greece","GRCO00X00",2045,0
"Greece","GRCO00X00",2046,0
"Greece","GRCO00X00",2047,0
"Greece","GRCO00X00",2048,0
"Greece","GRCO00X00",2049,0
"Greece","GRCO00X00",2050,0
"Greece","GRELALBP0",2019,0
"Greece","GRELALBP0",2020,0
"Greece","GRELALBP0",2021,0
"Greece","GRELALBP0",2022,0
"Greece","GRELALBP0",2023,0
"Greece","GRELALBP0",2024,0
"Greece","GRELALBP0",2025,0
"Greece","GRELALBP0",2026,0
"Greece","GRELALBP0",2027,0
"Greece","GRELALBP0",2028,0
"Greece","GRELALBP0",2029,0
"Greece","GRELALBP0",2030,0
"Greece","GRELALBP0",2031,0
"Greece","GRELALBP0",2032,0
"Greece","GRELALBP0",2033,0
"Greece","GRELALBP0",2034,0
"Greece","GRELALBP0",2035,0
"Greece","GRELALBP0",2036,0
"Greece","GRELALBP0",2037,0
"Greece","GRELALBP0",2038,0
"Greece","GRELALBP0",2039,0
"Greece","GRELALBP0",2040,0
"Greece","GRELALBP0",2041,0
"Greece","GRELALBP0",2042,0
"Greece","GRELALBP0",2043,0
"Greece","GRELALBP0",2044,0
"Greece","GRELALBP0",2045,0
"Greece","GRELALBP0",2046,0
"Greece","GRELALBP0",2047,0
"Greece","GRELALBP0",2048,0
"Greece","GRELALBP0",2049,0
"Greece","GRELALBP0",2050,0
"Greece","GRHF00I00",2019,0
"Greece","GRHF00I00",2020,0
"Greece","GRHF00I00",2021,0
"Greece","GRHF00I00",2022,0
"Greece","GRHF00I00",2023,0
"Greece","GRHF00I00",2024,0
"Greece","GRHF00I00",2025,0
"Greece","GRHF00I00",2026,0
"Greece","GRHF00I00",2027,0
"Greece","GRHF00I00",2028,0
"Greece","GRHF00I00",2029,0
"Greece","GRHF00I00",2030,0
"Greece","GRHF00I00",2031,0
"Greece","GRHF00I00",2032,0
"Greece","GRHF00I00",2033,0
"Greece","GRHF00I00",2034,0
"Greece","GRHF00I00",2035,0
"Greece","GRHF00I00",2036,0
"Greece","GRHF00I00",2037,0
"Greece","GRHF00I00",2038,0
"Greece","GRHF00I00",2039,0
"Greece","GRHF00I00",2040,0
"Greece","GRHF00I00",2041,0
"Greece","GRHF00I00",2042,0
"Greece","GRHF00I00",2043,0
"Greece","GRHF00I00",2044,0
"Greece","GRHF00I00",2045,0
"Greece","GRHF00I00",2046,0
"Greece","GRHF00I00",2047,0
"Greece","GRHF00I00",2048,0
"Greece","GRHF00I00",2049,0
"Greece","GRHF00I00",2050,0
"Greece","GRMBACKSTOP",2019,0
"Greece","GRMBACKSTOP",2020,0
"Greece","GRMBACKSTOP",2021,0
"Greece","GRMBACKSTOP",2022,0
"Greece","GRMBACKSTOP",2023,0
"Greece","GRMBACKSTOP",2024,0
"Greece","GRMBACKSTOP",2025,0
"Greece","GRMBACKSTOP",2026,0
"Greece","GRMBACKSTOP",2027,0
"Greece","GRMBACKSTOP",2028,0
"Greece","GRMBACKSTOP",2029,0
"Greece","GRMBACKSTOP",2030,0
"Greece","GRMBACKSTOP",2031,0
"Greece","GRMBACKSTOP",2032,0
"Greece","GRMBACKSTOP",2033,0
"Greece","GRMBACKSTOP",2034,0
"Greece","GRMBACKSTOP",2035,0
"Greece","GRMBACKSTOP",2036,0
"Greece","GRMBACKSTOP",2037,0
"Greece","GRMBACKSTOP",2038,0
"Greece","GRMBACKSTOP",2039,0
"Greece","GRMBACKSTOP",2040,0
"Greece","GRMBACKSTOP",2041,0
"Greece","GRMBACKSTOP",2042,0
"Greece","GRMBACKSTOP",2043,0
"Greece","GRMBACKSTOP",2044,0
"Greece","GRMBACKSTOP",2045,0
"Greece","GRMBACKSTOP",2046,0
"Greece","GRMBACKSTOP",2047,0
"Greece","GRMBACKSTOP",2048,0
"Greece","GRMBACKSTOP",2049,0
"Greece","GRMBACKSTOP",2050,0
"Greece","GRMBMCHP00",2019,0.16
"Greece","GRMBMCHP00",2020,0.18
"Greece","GRMBMCHP00",2021,0.2
"Greece","GRMBMCHP00",2022,0.6
"Greece","GRMBMCHP00",2023,1
"Greece","GRMBMCHP00",2024,1.4
"Greece","GRMBMCHP00",2025,1.4
"Greece","GRMBMCHP00",2026,1.4
"Greece","GRMBMCHP00",2027,1.8
"Greece","GRMBMCHP00",2028,1.8
"Greece","GRMBMCHP00",2029,1.8
"Greece","GRMBMCHP00",2030,1.8
"Greece","GRMBMCHP00",2031,1.8
"Greece","GRMBMCHP00",2032,1.8
"Greece","GRMBMCHP00",2033,2.2
"Greece","GRMBMCHP00",2034,2.6
"Greece","GRMBMCHP00",2035,3
"Greece","GRMBMCHP00",2036,3
"Greece","GRMBMCHP00",2037,3
"Greece","GRMBMCHP00",2038,3
"Greece","GRMBMCHP00",2039,3
"Greece","GRMBMCHP00",2040,3
"Greece","GRMBMCHP00",2041,3
"Greece","GRMBMCHP00",2042,3
"Greece","GRMBMCHP00",2043,3
"Greece","GRMBMCHP00",2044,3
"Greece","GRMBMCHP00",2045,3
"Greece","GRMBMCHP00",2046,3
"Greece","GRMBMCHP00",2047,3
"Greece","GRMBMCHP00",2048,3
"Greece","GRMBMCHP00",2049,3
"Greece","GRMBMCHP00",2050,3
"Greece","GRMCOSCP00",2019,0
"Greece","GRMCOSCP00",2020,0
"Greece","GRMCOSCP00",2021,0
"Greece","GRMCOSCP00",2022,0
"Greece","GRMCOSCP00",2023,0
"Greece","GRMCOSCP00",2024,0
"Greece","GRMCOSCP00",2025,0
"Greece","GRMCOSCP00",2026,0
"Greece","GRMCOSCP00",2027,0
"Greece","GRMCOSCP00",2028,0
"Greece","GRMCOSCP00",2029,0
"Greece","GRMCOSCP00",2030,0
"Greece","GRMCOSCP00",2031,0
"Greece","GRMCOSCP00",2032,0
"Greece","GRMCOSCP00",2033,0
"Greece","GRMCOSCP00",2034,0
"Greece","GRMCOSCP00",2035,0
"Greece","GRMCOSCP00",2036,0
"Greece","GRMCOSCP00",2037,0
"Greece","GRMCOSCP00",2038,0
"Greece","GRMCOSCP00",2039,0
"Greece","GRMCOSCP00",2040,0
"Greece","GRMCOSCP00",2041,0
"Greece","GRMCOSCP00",2042,0
"Greece","GRMCOSCP00",2043,0
"Greece","GRMCOSCP00",2044,0
"Greece","GRMCOSCP00",2045,0
"Greece","GRMCOSCP00",2046,0
"Greece","GRMCOSCP00",2047,0
"Greece","GRMCOSCP00",2048,0
"Greece","GRMCOSCP00",2049,0
"Greece","GRMCOSCP00",2050,0
"Greece","GRMCOSCP00_Ptol",2019,0
"Greece","GRMCOSCP00_Ptol",2020,0
"Greece","GRMCOSCP00_Ptol",2021,0
"Greece","GRMCOSCP00_Ptol",2022,0
"Greece","GRMCOSCP00_Ptol",2023,0
"Greece","GRMCOSCP00_Ptol",2024,0
"Greece","GRMCOSCP00_Ptol",2025,0
"Greece","GRMCOSCP00_Ptol",2026,0
"Greece","GRMCOSCP00_Ptol",2027,0
"Greece","GRMCOSCP00_Ptol",2028,0
"Greece","GRMCOSCP00_Ptol",2029,0
"Greece","GRMCOSCP00_Ptol",2030,0
"Greece","GRMCOSCP00_Ptol",2031,0
"Greece","GRMCOSCP00_Ptol",2032,0
"Greece","GRMCOSCP00_Ptol",2033,0
"Greece","GRMCOSCP00_Ptol",2034,0
"Greece","GRMCOSCP00_Ptol",2035,0
"Greece","GRMCOSCP00_Ptol",2036,0
"Greece","GRMCOSCP00_Ptol",2037,0
"Greece","GRMCOSCP00_Ptol",2038,0
"Greece","GRMCOSCP00_Ptol",2039,0
"Greece","GRMCOSCP00_Ptol",2040,0
"Greece","GRMCOSCP00_Ptol",2041,0
"Greece","GRMCOSCP00_Ptol",2042,0
"Greece","GRMCOSCP00_Ptol",2043,0
"Greece","GRMCOSCP00_Ptol",2044,0
"Greece","GRMCOSCP00_Ptol",2045,0
"Greece","GRMCOSCP00_Ptol",2046,0
"Greece","GRMCOSCP00_Ptol",2047,0
"Greece","GRMCOSCP00_Ptol",2048,0
"Greece","GRMCOSCP00_Ptol",2049,0
"Greece","GRMCOSCP00_Ptol",2050,0
"Greece","GRMEL00T00",2019,0
"Greece","GRMEL00T00",2020,0
"Greece","GRMEL00T00",2021,0
"Greece","GRMEL00T00",2022,0
"Greece","GRMEL00T00",2023,0
"Greece","GRMEL00T00",2024,0
"Greece","GRMEL00T00",2025,0
"Greece","GRMEL00T00",2026,0
"Greece","GRMEL00T00",2027,0
"Greece","GRMEL00T00",2028,0
"Greece","GRMEL00T00",2029,0
"Greece","GRMEL00T00",2030,0
"Greece","GRMEL00T00",2031,0
"Greece","GRMEL00T00",2032,0
"Greece","GRMEL00T00",2033,0
"Greece","GRMEL00T00",2034,0
"Greece","GRMEL00T00",2035,0
"Greece","GRMEL00T00",2036,0
"Greece","GRMEL00T00",2037,0
"Greece","GRMEL00T00",2038,0
"Greece","GRMEL00T00",2039,0
"Greece","GRMEL00T00",2040,0
"Greece","GRMEL00T00",2041,0
"Greece","GRMEL00T00",2042,0
"Greece","GRMEL00T00",2043,0
"Greece","GRMEL00T00",2044,0
"Greece","GRMEL00T00",2045,0
"Greece","GRMEL00T00",2046,0
"Greece","GRMEL00T00",2047,0
"Greece","GRMEL00T00",2048,0
"Greece","GRMEL00T00",2049,0
"Greece","GRMEL00T00",2050,0
"Greece","GRMHFSTP00",2019,0
"Greece","GRMHFSTP00",2020,0
"Greece","GRMHFSTP00",2021,0
"Greece","GRMHFSTP00",2022,0
"Greece","GRMHFSTP00",2023,0
"Greece","GRMHFSTP00",2024,0
"Greece","GRMHFSTP00",2025,0
"Greece","GRMHFSTP00",2026,0
"Greece","GRMHFSTP00",2027,0
"Greece","GRMHFSTP00",2028,0
"Greece","GRMHFSTP00",2029,0
"Greece","GRMHFSTP00",2030,0
"Greece","GRMHFSTP00",2031,0
"Greece","GRMHFSTP00",2032,0
"Greece","GRMHFSTP00",2033,0
"Greece","GRMHFSTP00",2034,0
"Greece","GRMHFSTP00",2035,0
"Greece","GRMHFSTP00",2036,0
"Greece","GRMHFSTP00",2037,0
"Greece","GRMHFSTP00",2038,0
"Greece","GRMHFSTP00",2039,0
"Greece","GRMHFSTP00",2040,0
"Greece","GRMHFSTP00",2041,0
"Greece","GRMHFSTP00",2042,0
"Greece","GRMHFSTP00",2043,0
"Greece","GRMHFSTP00",2044,0
"Greece","GRMHFSTP00",2045,0
"Greece","GRMHFSTP00",2046,0
"Greece","GRMHFSTP00",2047,0
"Greece","GRMHFSTP00",2048,0
"Greece","GRMHFSTP00",2049,0
"Greece","GRMHFSTP00",2050,0
"Greece","GRMHYDMS01",2019,20.304
"Greece","GRMHYDMS01",2020,21.15
"Greece","GRMHYDMS01",2021,21.996
"Greece","GRMHYDMS01",2022,21.996
"Greece","GRMHYDMS01",2023,21.996
"Greece","GRMHYDMS01",2024,21.996
"Greece","GRMHYDMS01",2025,21.996
"Greece","GRMHYDMS01",2026,21.996
"Greece","GRMHYDMS01",2027,21.996
"Greece","GRMHYDMS01",2028,21.996
"Greece","GRMHYDMS01",2029,21.996
"Greece","GRMHYDMS01",2030,21.996
"Greece","GRMHYDMS01",2031,21.996
"Greece","GRMHYDMS01",2032,21.996
"Greece","GRMHYDMS01",2033,21.996
"Greece","GRMHYDMS01",2034,21.996
"Greece","GRMHYDMS01",2035,21.996
"Greece","GRMHYDMS01",2036,21.996
"Greece","GRMHYDMS01",2037,21.996
"Greece","GRMHYDMS01",2038,21.996
"Greece","GRMHYDMS01",2039,21.996
"Greece","GRMHYDMS01",2040,21.996
"Greece","GRMHYDMS01",2041,21.996
"Greece","GRMHYDMS01",2042,21.996
"Greece","GRMHYDMS01",2043,37.4541695378079
"Greece","GRMHYDMS01",2044,58.6041695378079
"Greece","GRMHYDMS01",2045,79.7541695378079
"Greece","GRMHYDMS01",2046,100.904169537808
"Greece","GRMHYDMS01",2047,122.054169537808
"Greece","GRMHYDMS01",2048,143.204169537808
"Greece","GRMHYDMS01",2049,164.354169537808
"Greece","GRMHYDMS01",2050,177.66
"Greece","GRMHYDMS02",2019,14.382
"Greece","GRMHYDMS02",2020,14.382
"Greece","GRMHYDMS02",2021,14.382
"Greece","GRMHYDMS02",2022,14.382
"Greece","GRMHYDMS02",2023,14.382
"Greece","GRMHYDMS02",2024,14.382
"Greece","GRMHYDMS02",2025,14.382
"Greece","GRMHYDMS02",2026,14.382
"Greece","GRMHYDMS02",2027,14.382
"Greece","GRMHYDMS02",2028,14.382
"Greece","GRMHYDMS02",2029,14.382
"Greece","GRMHYDMS02",2030,14.382
"Greece","GRMHYDMS02",2031,14.382
"Greece","GRMHYDMS02",2032,14.382
"Greece","GRMHYDMS02",2033,14.382
"Greece","GRMHYDMS02",2034,14.382
"Greece","GRMHYDMS02",2035,14.382
"Greece","GRMHYDMS02",2036,14.382
"Greece","GRMHYDMS02",2037,14.382
"Greece","GRMHYDMS02",2038,14.382
"Greece","GRMHYDMS02",2039,14.382
"Greece","GRMHYDMS02",2040,14.382
"Greece","GRMHYDMS02",2041,14.382
"Greece","GRMHYDMS02",2042,14.382
"Greece","GRMHYDMS02",2043,14.382
"Greece","GRMHYDMS02",2044,14.382
"Greece","GRMHYDMS02",2045,14.382
"Greece","GRMHYDMS02",2046,14.382
"Greece","GRMHYDMS02",2047,14.382
"Greece","GRMHYDMS02",2048,14.382
"Greece","GRMHYDMS02",2049,14.382
"Greece","GRMHYDMS02",2050,14.382
"Greece","GRMHYDMS03",2019,253.8
"Greece","GRMHYDMS03",2020,253.8
"Greece","GRMHYDMS03",2021,253.8
"Greece","GRMHYDMS03",2022,253.8
"Greece","GRMHYDMS03",2023,253.8
"Greece","GRMHYDMS03",2024,253.8
"Greece","GRMHYDMS03",2025,253.8
"Greece","GRMHYDMS03",2026,253.8
"Greece","GRMHYDMS03",2027,253.8
"Greece","GRMHYDMS03",2028,253.8
"Greece","GRMHYDMS03",2029,253.8
"Greece","GRMHYDMS03",2030,253.8
"Greece","GRMHYDMS03",2031,253.8
"Greece","GRMHYDMS03",2032,253.8
"Greece","GRMHYDMS03",2033,253.8
"Greece","GRMHYDMS03",2034,253.8
"Greece","GRMHYDMS03",2035,253.8
"Greece","GRMHYDMS03",2036,253.8
"Greece","GRMHYDMS03",2037,253.8
"Greece","GRMHYDMS03",2038,253.8
"Greece","GRMHYDMS03",2039,253.8
"Greece","GRMHYDMS03",2040,253.8
"Greece","GRMHYDMS03",2041,253.8
"Greece","GRMHYDMS03",2042,253.8
"Greece","GRMHYDMS03",2043,253.8
"Greece","GRMHYDMS03",2044,253.8
"Greece","GRMHYDMS03",2045,253.8
"Greece","GRMHYDMS03",2046,253.8
"Greece","GRMHYDMS03",2047,253.8
"Greece","GRMHYDMS03",2048,253.8
"Greece","GRMHYDMS03",2049,253.8
"Greece","GRMHYDMS03",2050,253.8
"Greece","GRMNGCCP00",2019,0
"Greece","GRMNGCCP00",2020,0
"Greece","GRMNGCCP00",2021,0
"Greece","GRMNGCCP00",2022,0
"Greece","GRMNGCCP00",2023,0
"Greece","GRMNGCCP00",2024,0
"Greece","GRMNGCCP00",2025,0
"Greece","GRMNGCCP00",2026,0
"Greece","GRMNGCCP00",2027,0
"Greece","GRMNGCCP00",2028,0
"Greece","GRMNGCCP00",2029,0
"Greece","GRMNGCCP00",2030,0
"Greece","GRMNGCCP00",2031,0
"Greece","GRMNGCCP00",2032,0
"Greece","GRMNGCCP00",2033,0
"Greece","GRMNGCCP00",2034,0
"Greece","GRMNGCCP00",2035,0
"Greece","GRMNGCCP00",2036,0
"Greece","GRMNGCCP00",2037,0
"Greece","GRMNGCCP00",2038,0
"Greece","GRMNGCCP00",2039,0
"Greece","GRMNGCCP00",2040,0
"Greece","GRMNGCCP00",2041,0
"Greece","GRMNGCCP00",2042,0
"Greece","GRMNGCCP00",2043,0
"Greece","GRMNGCCP00",2044,0
"Greece","GRMNGCCP00",2045,0
"Greece","GRMNGCCP00",2046,0
"Greece","GRMNGCCP00",2047,0
"Greece","GRMNGCCP00",2048,0
"Greece","GRMNGCCP00",2049,0
"Greece","GRMNGCCP00",2050,0
"Greece","GRMNGGCP00",2019,0
"Greece","GRMNGGCP00",2020,0
"Greece","GRMNGGCP00",2021,0
"Greece","GRMNGGCP00",2022,0
"Greece","GRMNGGCP00",2023,0
"Greece","GRMNGGCP00",2024,0
"Greece","GRMNGGCP00",2025,0
"Greece","GRMNGGCP00",2026,0
"Greece","GRMNGGCP00",2027,0
"Greece","GRMNGGCP00",2028,0
"Greece","GRMNGGCP00",2029,0
"Greece","GRMNGGCP00",2030,0
"Greece","GRMNGGCP00",2031,0
"Greece","GRMNGGCP00",2032,0
"Greece","GRMNGGCP00",2033,0
"Greece","GRMNGGCP00",2034,0
"Greece","GRMNGGCP00",2035,0
"Greece","GRMNGGCP00",2036,0
"Greece","GRMNGGCP00",2037,0
"Greece","GRMNGGCP00",2038,0
"Greece","GRMNGGCP00",2039,0
"Greece","GRMNGGCP00",2040,0
"Greece","GRMNGGCP00",2041,0
"Greece","GRMNGGCP00",2042,0
"Greece","GRMNGGCP00",2043,0
"Greece","GRMNGGCP00",2044,0
"Greece","GRMNGGCP00",2045,0
"Greece","GRMNGGCP00",2046,0
"Greece","GRMNGGCP00",2047,0
"Greece","GRMNGGCP00",2048,0
"Greece","GRMNGGCP00",2049,0
"Greece","GRMNGGCP00",2050,0
"Greece","GRMSOC1P00",2019,0
"Greece","GRMSOC1P00",2020,0
"Greece","GRMSOC1P00",2021,0
"Greece","GRMSOC1P00",2022,0
"Greece","GRMSOC1P00",2023,0
"Greece","GRMSOC1P00",2024,0
"Greece","GRMSOC1P00",2025,0
"Greece","GRMSOC1P00",2026,0
"Greece","GRMSOC1P00",2027,0
"Greece","GRMSOC1P00",2028,0
"Greece","GRMSOC1P00",2029,0
"Greece","GRMSOC1P00",2030,0
"Greece","GRMSOC1P00",2031,0
"Greece","GRMSOC1P00",2032,0
"Greece","GRMSOC1P00",2033,0
"Greece","GRMSOC1P00",2034,0
"Greece","GRMSOC1P00",2035,0
"Greece","GRMSOC1P00",2036,0
"Greece","GRMSOC1P00",2037,0
"Greece","GRMSOC1P00",2038,0
"Greece","GRMSOC1P00",2039,0
"Greece","GRMSOC1P00",2040,0
"Greece","GRMSOC1P00",2041,0
"Greece","GRMSOC1P00",2042,0
"Greece","GRMSOC1P00",2043,0
"Greece","GRMSOC1P00",2044,0
"Greece","GRMSOC1P00",2045,0
"Greece","GRMSOC1P00",2046,0
"Greece","GRMSOC1P00",2047,0
"Greece","GRMSOC1P00",2048,0
"Greece","GRMSOC1P00",2049,7.5
"Greece","GRMSOC1P00",2050,7.5
"Greece","GRMSOU1P03",2019,83.248
"Greece","GRMSOU1P03",2020,98.384
"Greece","GRMSOU1P03",2021,120.056
"Greece","GRMSOU1P03",2022,144.136
