r,t,e,y,AnnualTechnologyEmission
"Greece","GRMCOSCP00","MAR",2028,0
"Greece","GRMCOSCP00","MAR",2029,0
"Greece","GRMCOSCP00","MAR",2030,0
"Greece","GRMCOSCP00","MAR",2031,0
"Greece","GRMCOSCP00","MAR",2032,0
"Greece","GRMCOSCP00","MAR",2033,0
"Greece","GRMCOSCP00","MAR",2034,0
"Greece","GRMCOSCP00","MAR",2035,0
"Greece","GRMCOSCP00","MAR",2036,0
"Greece","GRMCOSCP00","MAR",2037,0
"Greece","GRMCOSCP00","MAR",2038,0
"Greece","GRMCOSCP00","MAR",2039,0
"Greece","GRMCOSCP00","MAR",2040,0
"Greece","GRMCOSCP00","MAR",2041,0
"Greece","GRMCOSCP00","MAR",2042,0
"Greece","GRMCOSCP00","MAR",2043,0
"Greece","GRMCOSCP00","MAR",2044,0
"Greece","GRMCOSCP00","MAR",2045,0
"Greece","GRMCOSCP00","MAR",2046,0
"Greece","GRMCOSCP00","MAR",2047,0
"Greece","GRMCOSCP00","MAR",2048,0
"Greece","GRMCOSCP00","MAR",2049,0
"Greece","GRMCOSCP00","MAR",2050,0
"Greece","GRMCOSCP00_Ptol","CO2",2019,0
"Greece","GRMCOSCP00_Ptol","CO2",2020,0
"Greece","GRMCOSCP00_Ptol","CO2",2021,0
"Greece","GRMCOSCP00_Ptol","CO2",2022,0
"Greece","GRMCOSCP00_Ptol","CO2",2023,0
"Greece","GRMCOSCP00_Ptol","CO2",2024,0
"Greece","GRMCOSCP00_Ptol","CO2",2025,0
"Greece","GRMCOSCP00_Ptol","CO2",2026,0
"Greece","GRMCOSCP00_Ptol","CO2",2027,0
"Greece","GRMCOSCP00_Ptol","CO2",2028,0
"Greece","GRMCOSCP00_Ptol","CO2",2029,0
"Greece","GRMCOSCP00_Ptol","CO2",2030,0
"Greece","GRMCOSCP00_Ptol","CO2",2031,0
"Greece","GRMCOSCP00_Ptol","CO2",2032,0
"Greece","GRMCOSCP00_Ptol","CO2",2033,0
"Greece","GRMCOSCP00_Ptol","CO2",2034,0
"Greece","GRMCOSCP00_Ptol","CO2",2035,0
"Greece","GRMCOSCP00_Ptol","CO2",2036,0
"Greece","GRMCOSCP00_Ptol","CO2",2037,0
"Greece","GRMCOSCP00_Ptol","CO2",2038,0
"Greece","GRMCOSCP00_Ptol","CO2",2039,0
"Greece","GRMCOSCP00_Ptol","CO2",2040,0
"Greece","GRMCOSCP00_Ptol","CO2",2041,0
"Greece","GRMCOSCP00_Ptol","CO2",2042,0
"Greece","GRMCOSCP00_Ptol","CO2",2043,0
"Greece","GRMCOSCP00_Ptol","CO2",2044,0
"Greece","GRMCOSCP00_Ptol","CO2",2045,0
"Greece","GRMCOSCP00_Ptol","CO2",2046,0
"Greece","GRMCOSCP00_Ptol","CO2",2047,0
"Greece","GRMCOSCP00_Ptol","CO2",2048,0
"Greece","GRMCOSCP00_Ptol","CO2",2049,0
"Greece","GRMCOSCP00_Ptol","CO2",2050,0
"Greece","GRMCOSCP00_Ptol","RETarget",2019,0
"Greece","GRMCOSCP00_Ptol","RETarget",2020,0
"Greece","GRMCOSCP00_Ptol","RETarget",2021,0
"Greece","GRMCOSCP00_Ptol","RETarget",2022,0
"Greece","GRMCOSCP00_Ptol","RETarget",2023,0
"Greece","GRMCOSCP00_Ptol","RETarget",2024,0
"Greece","GRMCOSCP00_Ptol","RETarget",2025,0
"Greece","GRMCOSCP00_Ptol","RETarget",2026,0
"Greece","GRMCOSCP00_Ptol","RETarget",2027,0
"Greece","GRMCOSCP00_Ptol","RETarget",2028,0
"Greece","GRMCOSCP00_Ptol","RETarget",2029,0
"Greece","GRMCOSCP00_Ptol","RETarget",2030,0
"Greece","GRMCOSCP00_Ptol","RETarget",2031,0
"Greece","GRMCOSCP00_Ptol","RETarget",2032,0
"Greece","GRMCOSCP00_Ptol","RETarget",2033,0
"Greece","GRMCOSCP00_Ptol","RETarget",2034,0
"Greece","GRMCOSCP00_Ptol","RETarget",2035,0
"Greece","GRMCOSCP00_Ptol","RETarget",2036,0
"Greece","GRMCOSCP00_Ptol","RETarget",2037,0
"Greece","GRMCOSCP00_Ptol","RETarget",2038,0
"Greece","GRMCOSCP00_Ptol","RETarget",2039,0
"Greece","GRMCOSCP00_Ptol","RETarget",2040,0
"Greece","GRMCOSCP00_Ptol","RETarget",2041,0
"Greece","GRMCOSCP00_Ptol","RETarget",2042,0
"Greece","GRMCOSCP00_Ptol","RETarget",2043,0
"Greece","GRMCOSCP00_Ptol","RETarget",2044,0
"Greece","GRMCOSCP00_Ptol","RETarget",2045,0
"Greece","GRMCOSCP00_Ptol","RETarget",2046,0
"Greece","GRMCOSCP00_Ptol","RETarget",2047,0
"Greece","GRMCOSCP00_Ptol","RETarget",2048,0
"Greece","GRMCOSCP00_Ptol","RETarget",2049,0
"Greece","GRMCOSCP00_Ptol","RETarget",2050,0
"Greece","GRMCOSCP00_Ptol","MAR",2019,0
"Greece","GRMCOSCP00_Ptol","MAR",2020,0
"Greece","GRMCOSCP00_Ptol","MAR",2021,0
"Greece","GRMCOSCP00_Ptol","MAR",2022,0
"Greece","GRMCOSCP00_Ptol","MAR",2023,0
"Greece","GRMCOSCP00_Ptol","MAR",2024,0
"Greece","GRMCOSCP00_Ptol","MAR",2025,0
"Greece","GRMCOSCP00_Ptol","MAR",2026,0
"Greece","GRMCOSCP00_Ptol","MAR",2027,0
"Greece","GRMCOSCP00_Ptol","MAR",2028,0
"Greece","GRMCOSCP00_Ptol","MAR",2029,0
"Greece","GRMCOSCP00_Ptol","MAR",2030,0
"Greece","GRMCOSCP00_Ptol","MAR",2031,0
"Greece","GRMCOSCP00_Ptol","MAR",2032,0
"Greece","GRMCOSCP00_Ptol","MAR",2033,0
"Greece","GRMCOSCP00_Ptol","MAR",2034,0
"Greece","GRMCOSCP00_Ptol","MAR",2035,0
"Greece","GRMCOSCP00_Ptol","MAR",2036,0
"Greece","GRMCOSCP00_Ptol","MAR",2037,0
"Greece","GRMCOSCP00_Ptol","MAR",2038,0
"Greece","GRMCOSCP00_Ptol","MAR",2039,0
"Greece","GRMCOSCP00_Ptol","MAR",2040,0
"Greece","GRMCOSCP00_Ptol","MAR",2041,0
"Greece","GRMCOSCP00_Ptol","MAR",2042,0
"Greece","GRMCOSCP00_Ptol","MAR",2043,0
"Greece","GRMCOSCP00_Ptol","MAR",2044,0
"Greece","GRMCOSCP00_Ptol","MAR",2045,0
"Greece","GRMCOSCP00_Ptol","MAR",2046,0
"Greece","GRMCOSCP00_Ptol","MAR",2047,0
"Greece","GRMCOSCP00_Ptol","MAR",2048,0
"Greece","GRMCOSCP00_Ptol","MAR",2049,0
"Greece","GRMCOSCP00_Ptol","MAR",2050,0
"Greece","GRMEL00T00","CO2",2019,0
"Greece","GRMEL00T00","CO2",2020,0
"Greece","GRMEL00T00","CO2",2021,0
"Greece","GRMEL00T00","CO2",2022,0
"Greece","GRMEL00T00","CO2",2023,0
"Greece","GRMEL00T00","CO2",2024,0
"Greece","GRMEL00T00","CO2",2025,0
"Greece","GRMEL00T00","CO2",2026,0
"Greece","GRMEL00T00","CO2",2027,0
"Greece","GRMEL00T00","CO2",2028,0
"Greece","GRMEL00T00","CO2",2029,0
"Greece","GRMEL00T00","CO2",2030,0
"Greece","GRMEL00T00","CO2",2031,0
"Greece","GRMEL00T00","CO2",2032,0
"Greece","GRMEL00T00","CO2",2033,0
"Greece","GRMEL00T00","CO2",2034,0
"Greece","GRMEL00T00","CO2",2035,0
"Greece","GRMEL00T00","CO2",2036,0
"Greece","GRMEL00T00","CO2",2037,0
"Greece","GRMEL00T00","CO2",2038,0
"Greece","GRMEL00T00","CO2",2039,0
"Greece","GRMEL00T00","CO2",2040,0
"Greece","GRMEL00T00","CO2",2041,0
"Greece","GRMEL00T00","CO2",2042,0
"Greece","GRMEL00T00","CO2",2043,0
"Greece","GRMEL00T00","CO2",2044,0
"Greece","GRMEL00T00","CO2",2045,0
"Greece","GRMEL00T00","CO2",2046,0
"Greece","GRMEL00T00","CO2",2047,0
"Greece","GRMEL00T00","CO2",2048,0
"Greece","GRMEL00T00","CO2",2049,0
"Greece","GRMEL00T00","CO2",2050,0
"Greece","GRMEL00T00","RETarget",2019,0
"Greece","GRMEL00T00","RETarget",2020,0
"Greece","GRMEL00T00","RETarget",2021,0
"Greece","GRMEL00T00","RETarget",2022,0
"Greece","GRMEL00T00","RETarget",2023,0
"Greece","GRMEL00T00","RETarget",2024,0
"Greece","GRMEL00T00","RETarget",2025,0
"Greece","GRMEL00T00","RETarget",2026,0
"Greece","GRMEL00T00","RETarget",2027,0
"Greece","GRMEL00T00","RETarget",2028,0
"Greece","GRMEL00T00","RETarget",2029,0
"Greece","GRMEL00T00","RETarget",2030,0
"Greece","GRMEL00T00","RETarget",2031,0
"Greece","GRMEL00T00","RETarget",2032,0
"Greece","GRMEL00T00","RETarget",2033,0
"Greece","GRMEL00T00","RETarget",2034,0
"Greece","GRMEL00T00","RETarget",2035,0
"Greece","GRMEL00T00","RETarget",2036,0
"Greece","GRMEL00T00","RETarget",2037,0
"Greece","GRMEL00T00","RETarget",2038,0
"Greece","GRMEL00T00","RETarget",2039,0
"Greece","GRMEL00T00","RETarget",2040,0
"Greece","GRMEL00T00","RETarget",2041,0
"Greece","GRMEL00T00","RETarget",2042,0
"Greece","GRMEL00T00","RETarget",2043,0
"Greece","GRMEL00T00","RETarget",2044,0
"Greece","GRMEL00T00","RETarget",2045,0
"Greece","GRMEL00T00","RETarget",2046,0
"Greece","GRMEL00T00","RETarget",2047,0
"Greece","GRMEL00T00","RETarget",2048,0
"Greece","GRMEL00T00","RETarget",2049,0
"Greece","GRMEL00T00","RETarget",2050,0
"Greece","GRMEL00T00","MAR",2019,0
"Greece","GRMEL00T00","MAR",2020,0
"Greece","GRMEL00T00","MAR",2021,0
"Greece","GRMEL00T00","MAR",2022,0
"Greece","GRMEL00T00","MAR",2023,0
"Greece","GRMEL00T00","MAR",2024,0
"Greece","GRMEL00T00","MAR",2025,0
"Greece","GRMEL00T00","MAR",2026,0
"Greece","GRMEL00T00","MAR",2027,0
"Greece","GRMEL00T00","MAR",2028,0
"Greece","GRMEL00T00","MAR",2029,0
"Greece","GRMEL00T00","MAR",2030,0
"Greece","GRMEL00T00","MAR",2031,0
"Greece","GRMEL00T00","MAR",2032,0
"Greece","GRMEL00T00","MAR",2033,0
"Greece","GRMEL00T00","MAR",2034,0
"Greece","GRMEL00T00","MAR",2035,0
"Greece","GRMEL00T00","MAR",2036,0
"Greece","GRMEL00T00","MAR",2037,0
"Greece","GRMEL00T00","MAR",2038,0
"Greece","GRMEL00T00","MAR",2039,0
"Greece","GRMEL00T00","MAR",2040,0
"Greece","GRMEL00T00","MAR",2041,0
"Greece","GRMEL00T00","MAR",2042,0
"Greece","GRMEL00T00","MAR",2043,0
"Greece","GRMEL00T00","MAR",2044,0
"Greece","GRMEL00T00","MAR",2045,0
"Greece","GRMEL00T00","MAR",2046,0
"Greece","GRMEL00T00","MAR",2047,0
"Greece","GRMEL00T00","MAR",2048,0
"Greece","GRMEL00T00","MAR",2049,0
"Greece","GRMEL00T00","MAR",2050,0
"Greece","GRMHFSTP00","CO2",2019,0
"Greece","GRMHFSTP00","CO2",2020,0
"Greece","GRMHFSTP00","CO2",2021,0
"Greece","GRMHFSTP00","CO2",2022,0
"Greece","GRMHFSTP00","CO2",2023,0
"Greece","GRMHFSTP00","CO2",2024,0
"Greece","GRMHFSTP00","CO2",2025,0
"Greece","GRMHFSTP00","CO2",2026,0
"Greece","GRMHFSTP00","CO2",2027,0
"Greece","GRMHFSTP00","CO2",2028,0
"Greece","GRMHFSTP00","CO2",2029,0
"Greece","GRMHFSTP00","CO2",2030,0
"Greece","GRMHFSTP00","CO2",2031,0
"Greece","GRMHFSTP00","CO2",2032,0
"Greece","GRMHFSTP00","CO2",2033,0
"Greece","GRMHFSTP00","CO2",2034,0
"Greece","GRMHFSTP00","CO2",2035,0
"Greece","GRMHFSTP00","CO2",2036,0
"Greece","GRMHFSTP00","CO2",2037,0
"Greece","GRMHFSTP00","CO2",2038,0
"Greece","GRMHFSTP00","CO2",2039,0
"Greece","GRMHFSTP00","CO2",2040,0
"Greece","GRMHFSTP00","CO2",2041,0
"Greece","GRMHFSTP00","CO2",2042,0
"Greece","GRMHFSTP00","CO2",2043,0
"Greece","GRMHFSTP00","CO2",2044,0
"Greece","GRMHFSTP00","CO2",2045,0
"Greece","GRMHFSTP00","CO2",2046,0
"Greece","GRMHFSTP00","CO2",2047,0
"Greece","GRMHFSTP00","CO2",2048,0
"Greece","GRMHFSTP00","CO2",2049,0
"Greece","GRMHFSTP00","CO2",2050,0
"Greece","GRMHFSTP00","RETarget",2019,0
"Greece","GRMHFSTP00","RETarget",2020,0
"Greece","GRMHFSTP00","RETarget",2021,0
"Greece","GRMHFSTP00","RETarget",2022,0
"Greece","GRMHFSTP00","RETarget",2023,0
"Greece","GRMHFSTP00","RETarget",2024,0
"Greece","GRMHFSTP00","RETarget",2025,0
"Greece","GRMHFSTP00","RETarget",2026,0
"Greece","GRMHFSTP00","RETarget",2027,0
"Greece","GRMHFSTP00","RETarget",2028,0
"Greece","GRMHFSTP00","RETarget",2029,0
"Greece","GRMHFSTP00","RETarget",2030,0
"Greece","GRMHFSTP00","RETarget",2031,0
"Greece","GRMHFSTP00","RETarget",2032,0
"Greece","GRMHFSTP00","RETarget",2033,0
"Greece","GRMHFSTP00","RETarget",2034,0
"Greece","GRMHFSTP00","RETarget",2035,0
"Greece","GRMHFSTP00","RETarget",2036,0
"Greece","GRMHFSTP00","RETarget",2037,0
"Greece","GRMHFSTP00","RETarget",2038,0
"Greece","GRMHFSTP00","RETarget",2039,0
"Greece","GRMHFSTP00","RETarget",2040,0
"Greece","GRMHFSTP00","RETarget",2041,0
"Greece","GRMHFSTP00","RETarget",2042,0
"Greece","GRMHFSTP00","RETarget",2043,0
"Greece","GRMHFSTP00","RETarget",2044,0
"Greece","GRMHFSTP00","RETarget",2045,0
"Greece","GRMHFSTP00","RETarget",2046,0
"Greece","GRMHFSTP00","RETarget",2047,0
"Greece","GRMHFSTP00","RETarget",2048,0
"Greece","GRMHFSTP00","RETarget",2049,0
"Greece","GRMHFSTP00","RETarget",2050,0
"Greece","GRMHFSTP00","MAR",2019,0
"Greece","GRMHFSTP00","MAR",2020,0
"Greece","GRMHFSTP00","MAR",2021,0
"Greece","GRMHFSTP00","MAR",2022,0
"Greece","GRMHFSTP00","MAR",2023,0
"Greece","GRMHFSTP00","MAR",2024,0
"Greece","GRMHFSTP00","MAR",2025,0
"Greece","GRMHFSTP00","MAR",2026,0
"Greece","GRMHFSTP00","MAR",2027,0
"Greece","GRMHFSTP00","MAR",2028,0
"Greece","GRMHFSTP00","MAR",2029,0
"Greece","GRMHFSTP00","MAR",2030,0
"Greece","GRMHFSTP00","MAR",2031,0
"Greece","GRMHFSTP00","MAR",2032,0
"Greece","GRMHFSTP00","MAR",2033,0
"Greece","GRMHFSTP00","MAR",2034,0
"Greece","GRMHFSTP00","MAR",2035,0
"Greece","GRMHFSTP00","MAR",2036,0
"Greece","GRMHFSTP00","MAR",2037,0
"Greece","GRMHFSTP00","MAR",2038,0
"Greece","GRMHFSTP00","MAR",2039,0
"Greece","GRMHFSTP00","MAR",2040,0
"Greece","GRMHFSTP00","MAR",2041,0
"Greece","GRMHFSTP00","MAR",2042,0
"Greece","GRMHFSTP00","MAR",2043,0
"Greece","GRMHFSTP00","MAR",2044,0
"Greece","GRMHFSTP00","MAR",2045,0
"Greece","GRMHFSTP00","MAR",2046,0
"Greece","GRMHFSTP00","MAR",2047,0
"Greece","GRMHFSTP00","MAR",2048,0
"Greece","GRMHFSTP00","MAR",2049,0
"Greece","GRMHFSTP00","MAR",2050,0
"Greece","GRMHYDMS01","CO2",2019,0
"Greece","GRMHYDMS01","CO2",2020,0
"Greece","GRMHYDMS01","CO2",2021,0
"Greece","GRMHYDMS01","CO2",2022,0
"Greece","GRMHYDMS01","CO2",2023,0
"Greece","GRMHYDMS01","CO2",2024,0
"Greece","GRMHYDMS01","CO2",2025,0
"Greece","GRMHYDMS01","CO2",2026,0
"Greece","GRMHYDMS01","CO2",2027,0
"Greece","GRMHYDMS01","CO2",2028,0
"Greece","GRMHYDMS01","CO2",2029,0
"Greece","GRMHYDMS01","CO2",2030,0
"Greece","GRMHYDMS01","CO2",2031,0
"Greece","GRMHYDMS01","CO2",2032,0
"Greece","GRMHYDMS01","CO2",2033,0
"Greece","GRMHYDMS01","CO2",2034,0
"Greece","GRMHYDMS01","CO2",2035,0
"Greece","GRMHYDMS01","CO2",2036,0
"Greece","GRMHYDMS01","CO2",2037,0
"Greece","GRMHYDMS01","CO2",2038,0
"Greece","GRMHYDMS01","CO2",2039,0
"Greece","GRMHYDMS01","CO2",2040,0
"Greece","GRMHYDMS01","CO2",2041,0
"Greece","GRMHYDMS01","CO2",2042,0
"Greece","GRMHYDMS01","CO2",2043,0
"Greece","GRMHYDMS01","CO2",2044,0
"Greece","GRMHYDMS01","CO2",2045,0
"Greece","GRMHYDMS01","CO2",2046,0
"Greece","GRMHYDMS01","CO2",2047,0
"Greece","GRMHYDMS01","CO2",2048,0
"Greece","GRMHYDMS01","CO2",2049,0
"Greece","GRMHYDMS01","CO2",2050,0
"Greece","GRMHYDMS01","RETarget",2019,0
"Greece","GRMHYDMS01","RETarget",2020,0
"Greece","GRMHYDMS01","RETarget",2021,0
"Greece","GRMHYDMS01","RETarget",2022,0
"Greece","GRMHYDMS01","RETarget",2023,0
"Greece","GRMHYDMS01","RETarget",2024,0
"Greece","GRMHYDMS01","RETarget",2025,0
"Greece","GRMHYDMS01","RETarget",2026,0
"Greece","GRMHYDMS01","RETarget",2027,0
"Greece","GRMHYDMS01","RETarget",2028,0
"Greece","GRMHYDMS01","RETarget",2029,0
"Greece","GRMHYDMS01","RETarget",2030,0
"Greece","GRMHYDMS01","RETarget",2031,0
"Greece","GRMHYDMS01","RETarget",2032,0
"Greece","GRMHYDMS01","RETarget",2033,0
"Greece","GRMHYDMS01","RETarget",2034,0
"Greece","GRMHYDMS01","RETarget",2035,0
"Greece","GRMHYDMS01","RETarget",2036,0
"Greece","GRMHYDMS01","RETarget",2037,0
"Greece","GRMHYDMS01","RETarget",2038,0
"Greece","GRMHYDMS01","RETarget",2039,0
"Greece","GRMHYDMS01","RETarget",2040,0
"Greece","GRMHYDMS01","RETarget",2041,0
"Greece","GRMHYDMS01","RETarget",2042,0
"Greece","GRMHYDMS01","RETarget",2043,0
"Greece","GRMHYDMS01","RETarget",2044,0
"Greece","GRMHYDMS01","RETarget",2045,0
"Greece","GRMHYDMS01","RETarget",2046,0
"Greece","GRMHYDMS01","RETarget",2047,0
"Greece","GRMHYDMS01","RETarget",2048,0
"Greece","GRMHYDMS01","RETarget",2049,0
"Greece","GRMHYDMS01","RETarget",2050,0
"Greece","GRMHYDMS01","MAR",2019,0
"Greece","GRMHYDMS01","MAR",2020,0
"Greece","GRMHYDMS01","MAR",2021,0
"Greece","GRMHYDMS01","MAR",2022,0
"Greece","GRMHYDMS01","MAR",2023,0
"Greece","GRMHYDMS01","MAR",2024,0
"Greece","GRMHYDMS01","MAR",2025,0
"Greece","GRMHYDMS01","MAR",2026,0
"Greece","GRMHYDMS01","MAR",2027,0
"Greece","GRMHYDMS01","MAR",2028,0
"Greece","GRMHYDMS01","MAR",2029,0
"Greece","GRMHYDMS01","MAR",2030,0
"Greece","GRMHYDMS01","MAR",2031,0
"Greece","GRMHYDMS01","MAR",2032,0
"Greece","GRMHYDMS01","MAR",2033,0
"Greece","GRMHYDMS01","MAR",2034,0
"Greece","GRMHYDMS01","MAR",2035,0
"Greece","GRMHYDMS01","MAR",2036,0
"Greece","GRMHYDMS01","MAR",2037,0
"Greece","GRMHYDMS01","MAR",2038,0
"Greece","GRMHYDMS01","MAR",2039,0
"Greece","GRMHYDMS01","MAR",2040,0
"Greece","GRMHYDMS01","MAR",2041,0
"Greece","GRMHYDMS01","MAR",2042,0
"Greece","GRMHYDMS01","MAR",2043,0
"Greece","GRMHYDMS01","MAR",2044,0
"Greece","GRMHYDMS01","MAR",2045,0
"Greece","GRMHYDMS01","MAR",2046,0
"Greece","GRMHYDMS01","MAR",2047,0
"Greece","GRMHYDMS01","MAR",2048,0
"Greece","GRMHYDMS01","MAR",2049,0
"Greece","GRMHYDMS01","MAR",2050,0
"Greece","GRMHYDMS02","CO2",2019,0
"Greece","GRMHYDMS02","CO2",2020,0
"Greece","GRMHYDMS02","CO2",2021,0
"Greece","GRMHYDMS02","CO2",2022,0
"Greece","GRMHYDMS02","CO2",2023,0
"Greece","GRMHYDMS02","CO2",2024,0
"Greece","GRMHYDMS02","CO2",2025,0
"Greece","GRMHYDMS02","CO2",2026,0
"Greece","GRMHYDMS02","CO2",2027,0
"Greece","GRMHYDMS02","CO2",2028,0
"Greece","GRMHYDMS02","CO2",2029,0
"Greece","GRMHYDMS02","CO2",2030,0
"Greece","GRMHYDMS02","CO2",2031,0
"Greece","GRMHYDMS02","CO2",2032,0
"Greece","GRMHYDMS02","CO2",2033,0
"Greece","GRMHYDMS02","CO2",2034,0
"Greece","GRMHYDMS02","CO2",2035,0
"Greece","GRMHYDMS02","CO2",2036,0
"Greece","GRMHYDMS02","CO2",2037,0
"Greece","GRMHYDMS02","CO2",2038,0
"Greece","GRMHYDMS02","CO2",2039,0
"Greece","GRMHYDMS02","CO2",2040,0
"Greece","GRMHYDMS02","CO2",2041,0
"Greece","GRMHYDMS02","CO2",2042,0
"Greece","GRMHYDMS02","CO2",2043,0
"Greece","GRMHYDMS02","CO2",2044,0
"Greece","GRMHYDMS02","CO2",2045,0
"Greece","GRMHYDMS02","CO2",2046,0
"Greece","GRMHYDMS02","CO2",2047,0
"Greece","GRMHYDMS02","CO2",2048,0
"Greece","GRMHYDMS02","CO2",2049,0
"Greece","GRMHYDMS02","CO2",2050,0
"Greece","GRMHYDMS02","RETarget",2019,0
"Greece","GRMHYDMS02","RETarget",2020,0
"Greece","GRMHYDMS02","RETarget",2021,0
"Greece","GRMHYDMS02","RETarget",2022,0
"Greece","GRMHYDMS02","RETarget",2023,0
"Greece","GRMHYDMS02","RETarget",2024,0
"Greece","GRMHYDMS02","RETarget",2025,0
"Greece","GRMHYDMS02","RETarget",2026,0
"Greece","GRMHYDMS02","RETarget",2027,0
"Greece","GRMHYDMS02","RETarget",2028,0
"Greece","GRMHYDMS02","RETarget",2029,0
"Greece","GRMHYDMS02","RETarget",2030,0
"Greece","GRMHYDMS02","RETarget",2031,0
"Greece","GRMHYDMS02","RETarget",2032,0
"Greece","GRMHYDMS02","RETarget",2033,0
"Greece","GRMHYDMS02","RETarget",2034,0
"Greece","GRMHYDMS02","RETarget",2035,0
"Greece","GRMHYDMS02","RETarget",2036,0
"Greece","GRMHYDMS02","RETarget",2037,0
"Greece","GRMHYDMS02","RETarget",2038,0
"Greece","GRMHYDMS02","RETarget",2039,0
"Greece","GRMHYDMS02","RETarget",2040,0
"Greece","GRMHYDMS02","RETarget",2041,0
"Greece","GRMHYDMS02","RETarget",2042,0
"Greece","GRMHYDMS02","RETarget",2043,0
"Greece","GRMHYDMS02","RETarget",2044,0
"Greece","GRMHYDMS02","RETarget",2045,0
"Greece","GRMHYDMS02","RETarget",2046,0
"Greece","GRMHYDMS02","RETarget",2047,0
"Greece","GRMHYDMS02","RETarget",2048,0
"Greece","GRMHYDMS02","RETarget",2049,0
"Greece","GRMHYDMS02","RETarget",2050,0
"Greece","GRMHYDMS02","MAR",2019,0
"Greece","GRMHYDMS02","MAR",2020,0
"Greece","GRMHYDMS02","MAR",2021,0
"Greece","GRMHYDMS02","MAR",2022,0
"Greece","GRMHYDMS02","MAR",2023,0
"Greece","GRMHYDMS02","MAR",2024,0
"Greece","GRMHYDMS02","MAR",2025,0
"Greece","GRMHYDMS02","MAR",2026,0
"Greece","GRMHYDMS02","MAR",2027,0
"Greece","GRMHYDMS02","MAR",2028,0
"Greece","GRMHYDMS02","MAR",2029,0
"Greece","GRMHYDMS02","MAR",2030,0
"Greece","GRMHYDMS02","MAR",2031,0
"Greece","GRMHYDMS02","MAR",2032,0
"Greece","GRMHYDMS02","MAR",2033,0
"Greece","GRMHYDMS02","MAR",2034,0
"Greece","GRMHYDMS02","MAR",2035,0
"Greece","GRMHYDMS02","MAR",2036,0
"Greece","GRMHYDMS02","MAR",2037,0
"Greece","GRMHYDMS02","MAR",2038,0
"Greece","GRMHYDMS02","MAR",2039,0
"Greece","GRMHYDMS02","MAR",2040,0
"Greece","GRMHYDMS02","MAR",2041,0
"Greece","GRMHYDMS02","MAR",2042,0
"Greece","GRMHYDMS02","MAR",2043,0
"Greece","GRMHYDMS02","MAR",2044,0
"Greece","GRMHYDMS02","MAR",2045,0
"Greece","GRMHYDMS02","MAR",2046,0
"Greece","GRMHYDMS02","MAR",2047,0
"Greece","GRMHYDMS02","MAR",2048,0
"Greece","GRMHYDMS02","MAR",2049,0
"Greece","GRMHYDMS02","MAR",2050,0
"Greece","GRMHYDMS03","CO2",2019,0
"Greece","GRMHYDMS03","CO2",2020,0
"Greece","GRMHYDMS03","CO2",2021,0
"Greece","GRMHYDMS03","CO2",2022,0
"Greece","GRMHYDMS03","CO2",2023,0
"Greece","GRMHYDMS03","CO2",2024,0
"Greece","GRMHYDMS03","CO2",2025,0
"Greece","GRMHYDMS03","CO2",2026,0
"Greece","GRMHYDMS03","CO2",2027,0
"Greece","GRMHYDMS03","CO2",2028,0
"Greece","GRMHYDMS03","CO2",2029,0
"Greece","GRMHYDMS03","CO2",2030,0
"Greece","GRMHYDMS03","CO2",2031,0
"Greece","GRMHYDMS03","CO2",2032,0
"Greece","GRMHYDMS03","CO2",2033,0
"Greece","GRMHYDMS03","CO2",2034,0
"Greece","GRMHYDMS03","CO2",2035,0
"Greece","GRMHYDMS03","CO2",2036,0
"Greece","GRMHYDMS03","CO2",2037,0
"Greece","GRMHYDMS03","CO2",2038,0
"Greece","GRMHYDMS03","CO2",2039,0
"Greece","GRMHYDMS03","CO2",2040,0
"Greece","GRMHYDMS03","CO2",2041,0
"Greece","GRMHYDMS03","CO2",2042,0
"Greece","GRMHYDMS03","CO2",2043,0
"Greece","GRMHYDMS03","CO2",2044,0
"Greece","GRMHYDMS03","CO2",2045,0
"Greece","GRMHYDMS03","CO2",2046,0
"Greece","GRMHYDMS03","CO2",2047,0
"Greece","GRMHYDMS03","CO2",2048,0
"Greece","GRMHYDMS03","CO2",2049,0
"Greece","GRMHYDMS03","CO2",2050,0
"Greece","GRMHYDMS03","RETarget",2019,0
"Greece","GRMHYDMS03","RETarget",2020,0
"Greece","GRMHYDMS03","RETarget",2021,0
"Greece","GRMHYDMS03","RETarget",2022,0
"Greece","GRMHYDMS03","RETarget",2023,0
"Greece","GRMHYDMS03","RETarget",2024,0
"Greece","GRMHYDMS03","RETarget",2025,0
"Greece","GRMHYDMS03","RETarget",2026,0
"Greece","GRMHYDMS03","RETarget",2027,0
"Greece","GRMHYDMS03","RETarget",2028,0
"Greece","GRMHYDMS03","RETarget",2029,0
"Greece","GRMHYDMS03","RETarget",2030,0
"Greece","GRMHYDMS03","RETarget",2031,0
"Greece","GRMHYDMS03","RETarget",2032,0
"Greece","GRMHYDMS03","RETarget",2033,0
"Greece","GRMHYDMS03","RETarget",2034,0
"Greece","GRMHYDMS03","RETarget",2035,0
"Greece","GRMHYDMS03","RETarget",2036,0
"Greece","GRMHYDMS03","RETarget",2037,0
"Greece","GRMHYDMS03","RETarget",2038,0
"Greece","GRMHYDMS03","RETarget",2039,0
"Greece","GRMHYDMS03","RETarget",2040,0
"Greece","GRMHYDMS03","RETarget",2041,0
